,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Fortaleza, CE, Brasil",2024-10-28,30.0,26.0,27.6,34.2,26.0,29.8,22.3,73.2,0.1,100.0,4.17,rain,0,0,64.8,44.6,104.5,1011.8,52.3,10.6,250.3,21.8,10,10,2024-10-28T05:10:58,2024-10-28T17:24:56,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"SBFZ,82398099999"
1,"Fortaleza, CE, Brasil",2024-10-29,32.0,26.0,28.0,34.2,26.0,29.8,21.1,67.0,0.0,0.0,0.0,rain,0,0,42.1,40.7,104.7,1011.6,51.3,10.7,305.8,26.4,10,10,2024-10-29T05:10:48,2024-10-29T17:24:58,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"SBFZ,82398099999"
2,"Fortaleza, CE, Brasil",2024-10-30,31.0,25.0,27.5,34.4,25.0,28.9,21.3,69.5,0.1,100.0,4.17,rain,0,0,33.5,37.1,107.7,1011.2,55.6,10.0,297.1,25.7,10,10,2024-10-30T05:10:40,2024-10-30T17:25:01,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,SBFZ
3,"Fortaleza, CE, Brasil",2024-10-31,31.0,25.0,27.6,33.6,25.0,29.1,21.9,71.8,0.1,100.0,4.17,rain,0,0,31.7,27.7,94.3,1011.3,47.0,10.0,217.7,18.9,9,10,2024-10-31T05:10:32,2024-10-31T17:25:04,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,SBFZ
4,"Fortaleza, CE, Brasil",2024-11-01,31.0,26.0,27.7,33.6,26.0,29.3,22.0,71.8,0.2,100.0,8.33,rain,0,0,36.0,35.3,105.0,1011.1,52.8,10.0,263.1,22.8,10,10,2024-11-01T05:10:25,2024-11-01T17:25:08,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,SBFZ
5,"Fortaleza, CE, Brasil",2024-11-02,29.0,25.9,27.1,30.7,25.9,28.2,21.1,70.0,0.4,100.0,16.67,rain,0,0,43.9,37.1,105.4,1010.9,56.7,18.8,285.6,24.6,10,10,2024-11-02T05:10:18,2024-11-02T17:25:13,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"SBFZ,remote"
6,"Fortaleza, CE, Brasil",2024-11-03,28.5,25.7,26.7,30.1,25.7,27.2,21.1,71.9,0.6,0.0,20.83,rain,0,0,42.5,29.5,104.4,1010.6,44.7,24.1,253.7,21.9,10,10,2024-11-03T05:10:13,2024-11-03T17:25:19,0.07,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
7,"Fortaleza, CE, Brasil",2024-11-04,28.6,25.6,27.0,30.2,25.6,27.6,20.4,67.8,0.1,3.2,4.17,rain,0,0,41.0,27.4,104.9,1011.3,5.0,24.1,305.1,26.3,10,10,2024-11-04T05:10:09,2024-11-04T17:25:25,0.11,Clear,Clear conditions throughout the day.,clear-day,
