,datetime,tempmin,temp,tempmax
0,2024-10-28,26.0,27.6,30.0
1,2024-10-29,26.0,28.0,32.0
2,2024-10-30,25.0,27.5,31.0
3,2024-10-31,25.0,27.6,31.0
4,2024-11-01,26.0,27.7,31.0
5,2024-11-02,25.9,27.1,29.0
6,2024-11-03,25.7,26.7,28.5
7,2024-11-04,25.6,27.0,28.6
