,datetime,description,icon
0,2024-11-04,Partly cloudy throughout the day with rain clearing later.,rain
1,2024-11-05,Partly cloudy throughout the day with rain clearing later.,rain
2,2024-11-06,Cloudy skies throughout the day.,cloudy
3,2024-11-07,Clearing in the afternoon.,partly-cloudy-day
4,2024-11-08,Clear conditions throughout the day.,clear-day
5,2024-11-09,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-11-10,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-11-11,Partly cloudy throughout the day.,partly-cloudy-day
