,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Fortaleza, CE, Brasil",2024-11-04,31.0,25.0,27.8,33.6,25.0,29.6,21.8,70.7,0.4,100.0,16.67,rain,0,0,39.2,40.7,109.4,1011.0,58.5,9.8,284.9,24.6,10,10,2024-11-04T05:10:09,2024-11-04T17:25:25,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,SBFZ
1,"Fortaleza, CE, Brasil",2024-11-05,32.0,25.0,27.6,33.4,25.0,29.0,21.9,72.1,0.4,100.0,12.5,rain,0,0,43.2,40.7,109.8,1010.9,66.0,11.8,289.0,25.0,10,10,2024-11-05T05:10:05,2024-11-05T17:25:33,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,SBFZ
2,"Fortaleza, CE, Brasil",2024-11-06,28.4,25.8,26.8,30.2,25.8,27.5,21.4,72.7,0.3,0.0,12.5,rain,0,0,42.5,28.8,110.0,1010.8,97.7,24.1,211.4,18.2,9,10,2024-11-06T05:10:03,2024-11-06T17:25:41,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
3,"Fortaleza, CE, Brasil",2024-11-07,28.6,25.8,26.9,30.5,25.8,27.7,21.5,72.6,0.6,19.4,20.83,rain,0,0,41.8,26.3,99.7,1011.1,33.7,24.1,267.0,23.0,10,10,2024-11-07T05:10:01,2024-11-07T17:25:50,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
4,"Fortaleza, CE, Brasil",2024-11-08,28.5,25.7,26.9,30.4,25.7,27.9,21.3,71.4,0.4,3.2,16.67,rain,0,0,38.2,24.8,101.2,1011.2,18.4,24.1,298.4,25.7,10,10,2024-11-08T05:10:00,2024-11-08T17:25:59,0.25,Clear,Clear conditions throughout the day.,clear-day,
5,"Fortaleza, CE, Brasil",2024-11-09,28.8,25.7,26.8,31.3,25.7,27.6,22.0,75.0,0.5,3.2,20.83,rain,0,0,33.1,24.1,105.3,1010.5,44.9,24.1,196.3,17.0,9,10,2024-11-09T05:10:00,2024-11-09T17:26:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
6,"Fortaleza, CE, Brasil",2024-11-10,28.9,26.0,27.1,31.2,26.0,28.4,21.9,73.6,0.5,0.0,20.83,rain,0,0,36.4,27.0,100.7,1009.8,43.1,24.1,306.3,26.5,9,10,2024-11-10T05:10:01,2024-11-10T17:26:21,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Fortaleza, CE, Brasil",2024-11-11,28.9,26.0,27.2,31.0,26.0,28.5,21.5,71.3,0.1,12.9,4.17,rain,0,0,34.7,22.3,102.1,1009.3,40.8,24.1,261.9,22.5,8,10,2024-11-11T05:10:03,2024-11-11T17:26:33,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
