,datetime,tempmin,temp,tempmax
0,2024-11-04,25.0,27.8,31.0
1,2024-11-05,25.0,27.6,32.0
2,2024-11-06,25.8,26.8,28.4
3,2024-11-07,25.8,26.9,28.6
4,2024-11-08,25.7,26.9,28.5
5,2024-11-09,25.7,26.8,28.8
6,2024-11-10,26.0,27.1,28.9
7,2024-11-11,26.0,27.2,28.9
