,datetime,description,icon
0,2024-11-01,Clearing in the afternoon.,partly-cloudy-day
1,2024-11-02,Clearing in the afternoon.,partly-cloudy-day
2,2024-11-03,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-11-04,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-11-05,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-11-06,Clear conditions throughout the day.,clear-day
6,2024-11-07,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-11-08,Partly cloudy throughout the day.,partly-cloudy-day
